,prod_id,images,string
22,5fa95cffcac2890608cfaf28,"['d9708b6bb34bec17fbe1blob', 'e5adebdcc0813e5c5887blob', '16fa05736e611481586bblob', '5e94de9204df62da46bablob', '616df88f2de1b4186e33blob', 'fef9309f56fd9ab7fb83blob', 'b0095f794de8e0f510f1blob', '82d04a0919983ac82146blob', None, None, None, None]","womenbrand: ralph laurn sport
model: blue jean shorts, size 10
category: women
drafted on ebay"
23,5fa95d90cac2890608cfaf30,"['45ec8ae3c4f9f7bad58dblob', '9ee5e3a68d1d5175c447blob', 'b43606d050cce70c62a8blob', '46e10290d882919f3dc6blob', '774b0bf7920baba1dffeblob', '831657bcdc8005f61df4blob', '1f1ace3fc7e93517003ablob', None, None, None, None, None]","womenbrand: nike sport
model: black and white, zipper back short shorts size xs
category: women
"
24,5fa99ab4cac2890608cfb03c,"['19a043deac79d32b965fblob', '57358a4c50f478719eb8blob', '54658bef5697731d4e40blob', '7577e29ccd7bc5695b9fblob', 'a8cf667b1f801c0481a0blob', '1b407c4e91165eadf035blob', 'a5b82301249553fe96c2blob', None, None, None, None, None]","womenathleta  women ash gray active shorts, size 6 
brand: athleta 
model: ash gray active shorts, size 6
category: women
athleta  women ash gray active shorts, size 6 "
25,5faaad66cac2890608cfb986,"['6fcf88e74a5381ff909fblob', 'f12e5b0a5a051aeb6f06blob', 'c9b45f13d91bb2370691blob', 'd5bade816b70df516fbablob', 'ce42c537fbfb34ef7702blob', '1a080b73955856a1d8b0blob', 'dc46a485c3de6dcac591blob', '22730187ac8b86760e69blob', None, None, None, None]","womenlululemon womens activeware workout elastic waist shorts multi gray size xs 
brand: lulu lemon
model: multi gray, size xs
category: women
lululemon womens activeware workout elastic waist shorts multi gray size xs "
26,5fac34b3764dee77c7d42cc2,"['f97fcf9909eccbe7a971blob', '33fd52ef996212079494blob', 'f346f4bd544231293f9fblob', 'd90541f041e5326f7b30blob', 'fbf1e389912b3fded3aeblob', '76ab22a766c7146dcd9eblob', 'b162ccb37caecdb5744cblob', '934e0440b284d759df8fblob', None, None, None, None]","womenwhite house black market womens hook and eye bermuda shorts navy blue size 00
brand: white house|black market 
model: navy blue bermuda shorts size 00
category: women
white house black market womens hook and eye bermuda shorts navy blue size 00"
27,5fac4389764dee77c7d42d24,"['58bdd4430d61ec0479b0blob', '497f319dd2cd299634c2blob', 'f20fe7b032b779b8e766blob', '7be1b3022f86a486f100blob', '42c3172640501ff10d18blob', '6d05b32fd50d055213d4blob', '63547fc24dc546e9b90dblob', '528a83b0deb6514aaebdblob', None, None, None, None]","womenprana womens pockets hiking casual elastic waist shorts rust coral size large 
brand: prana
model: rust coral shorts size large 
category: women
prana womens pockets hiking casual elastic waist shorts rust coral size large "
28,5fac484a764dee77c7d42d47,"['9c51fee061e049380833blob', '749fc6318005d6cac4ccblob', '3ee062d5ee352d0e26dablob', '079cee544bc51247f5fdblob', 'd82045393f90eee13a3eblob', '16174c2b0f5772fbe177blob', '2aa488652fa41c2b8e5cblob', '31cb726f4437427c6e18blob', '307b70ed06e034329230blob', None, None, None]","womenlilly pulitzer  women multicolor shorts size 14 
brand: lilly pulitzer 
model: multicolor shorts size 14
category: women
lilly pulitzer  women multicolor shorts size 14 "
29,5fad5594764dee77c7d43276,"['0f5a20d88cb84019f126blob', '1aced84181a9917a155dblob', '06949d92f6f41f442134blob', 'b0fe92af2c13cea83a40blob', 'b78a7b154de46eb705e1blob', '1dc1518a68c4805c2df4blob', '28931c924f1c5d6c97f6blob', '7047e4edea97f932cc54blob', None, None, None, None]","womencotopaxi  women green and orange active shorts size large 
brand: cotopaxi 
model: green and orange active shorts size large
category: women
cotopaxi  women green and orange active shorts size large "
30,5fad9742764dee77c7d4332a,"['3d3ad244817bb7d34ea4blob', '27790a63228a5331adfeblob', 'a42d157a7bad5b5ce766blob', '4072ea1ae60ec7a3ac7fblob', 'f789d9d53eaf37d3b21bblob', None, None, None, None, None, None, None]","womenbrand: champion 
model: black active wear shorts size large
category: women
"
31,5faec9e63fc6df179885eea1,"['736692f9b33b739b221fblob', 'dea7db44d7a13d3da634blob', '13a02f72533326e523fdblob', 'c560b7f0a7bcab29247fblob', '0d4090d69786defd3336blob', None, None, None, None, None, None, None]","womenlilly pulitzer womens designer regular lace eyelet shorts white size xs
brand: lilly pulitzer 
model: white lace shorts size extra small
category: women
lilly pulitzer womens designer regular lace eyelet shorts white size xs"
32,5faecb5f3fc6df179885eeaa,"['c39a57c08cea9fafe6c5blob', 'd380727fd8daa817aa2cblob', '9d7a222a6ad85c15585ablob', '681fc1160af88ffd3449blob', '91c59df2a5b3a32c61cdblob', 'e17e6f34847f3eb613c1blob', '7c24205e2f7049e636d3blob', '5d1cad98d662c885b42dblob', None, None, None, None]","womenbrand: lilly pulitzer 
model: floral print palm beach fit shorts size 6
category: women
"
33,5faed64d3fc6df179885eebf,"['660e3df6e4b8d460514eblob', '390d1b6c680b393863b5blob', '5241c7b1c8438bd193c6blob', 'ff92e432900c14e200adblob', 'd450348724212fd1fcf5blob', '0c95a39b760bf5d4367fblob', 'd7ab4a4d21211b5ae041blob', '6203433e181d65a7ea91blob', None, None, None, None]","womenprana womens activewear floral print shorts burgundy size small
brand: prana
model: burgundy floral print shorts size small
category: women
prana womens activewear floral print shorts burgundy size small"
